id,water,Classified_water ,water_adjust,uv,UV adjust,Classified UV,area,Classified_area,fertilizer_usage,Fret_use_norm,yield,pesticides,Classifed_pesticides,Pest_norm,region,categories, y_per_area , y_per_area_norm,Cost Values,Cost Values_norm,Profit ratio,Classified PR
908,1.414,1,1.414,63.536,63.536,2,6.836,3,2,0.4,85.334,3.339,2,0.349338096,3,d,12.48303101,0.86,0.833854482,0.29,0.57,3
918,1.513,1,1.513,65.778,65.778,3,6.364,3,1,0.2,74.221,3.93,2,0.411430973,3,d,11.66263356,0.8,0.702514959,0.24,0.56,3
335,1.97,1,1.97,68.791,68.791,3,6.986,3,1,0.2,76.502,2.563,2,0.267808363,3,"d,c",10.95075866,0.75,0.589209451,0.19,0.56,3
968,1.71,1,1.71,67.928,67.928,3,4.782,2,2,0.4,61.784,4.316,2,0.451985711,2,a,12.92011711,0.9,0.956138557,0.34,0.56,3
665,1.267,1,1.267,61.537,61.537,2,7.954,3,3,0.6,103.774,2.935,2,0.306892204,1,d,13.04676892,0.91,0.981656699,0.35,0.55,3
62,1.274,1,1.274,64.257,64.257,2,5.407,2,2,0.4,61.041,1.817,1,0.189430553,0,"c,a",11.28925467,0.77,0.664659424,0.22,0.55,3
246,1.297,1,1.297,65.361,65.361,3,5.64,2,2,0.4,71.583,4.359,2,0.456503467,2,"a,d",12.69202128,0.88,0.933258144,0.33,0.55,3
173,1.334,1,1.334,69.205,69.205,3,9.588,4,2,0.4,119.293,4.447,2,0.465749107,2,d,12.44190655,0.86,0.944958341,0.34,0.52,3
146,1.74,1,1.74,62.921,62.921,2,4.007,2,3,0.6,50.982,2.85,2,0.297961757,1,a,12.72323434,0.88,1.004104784,0.36,0.52,3
492,0.713,1,0.713,77.55,77.55,3,12.957,5,0,0,125.129,4.042,2,0.423198151,4,"b,c,a,d",9.657250907,0.65,0.461210623,0.13,0.51,3
664,1.646,1,1.646,60.096,60.096,2,9.135,4,1,0.2,86.761,1.328,1,0.138054213,4,d,9.497646415,0.63,0.437961338,0.12,0.51,3
249,1.456,1,1.456,68.223,68.223,3,2.724,1,2,0.4,29.995,2.245,2,0.234397983,4,a,11.01138032,0.75,0.721700623,0.24,0.51,3
788,1.896,1,1.896,62.282,62.282,2,5.547,2,3,0.6,70,2.903,2,0.303530153,2,a,12.61943393,0.87,1.020022126,0.37,0.5,3
290,1.389,1,1.389,66.499,66.499,3,4.622,2,4,0.8,62.191,2.817,2,0.294494642,2,d,13.45543055,0.94,1.177352543,0.44,0.5,3
425,1.51,1,1.51,61.344,61.344,2,6.258,3,1,0.2,70.473,5.097,3,0.534040765,2,d,11.26126558,0.77,0.824925732,0.29,0.48,3
775,1.859,1,1.859,64.828,64.828,2,2.187,1,2,0.4,22.624,1.378,1,0.143307418,2,"a,d",10.34476452,0.7,0.657344833,0.22,0.48,3
648,1.953,1,1.953,65.541,65.541,3,7.678,3,2,0.4,83.392,2.265,2,0.236499265,4,a,10.86116176,0.74,0.756772583,0.26,0.48,3
337,1.513,1,1.513,66.13,66.13,3,10.172,4,2,0.4,106.113,1.825,1,0.190271065,4,a,10.4318718,0.71,0.681355051,0.23,0.48,3
163,,1,4,64.624,64.624,2,3.077,2,3,0.6,38.078,2.273,2,0.237339777,1,"c,a",12.37504062,0.86,1.093409832,0.4,0.45,3
738,1.45,1,1.45,64.902,64.902,2,12.834,5,2,0.4,143.939,4.183,2,0.438012187,4,c,11.21544335,0.77,0.924916791,0.33,0.44,3
3,1.995,1,1.995,69.248,69.248,3,1.738,1,3,0.6,17.984,0.603,1,0.061882748,2,a,10.34752589,0.7,0.784942321,0.27,0.43,3
93,2.165,1,2.165,75.755,75.755,3,6.857,3,0,0,61.07,3.863,2,0.404391679,1,"b,d",8.906227213,0.59,0.538728948,0.17,0.42,3
979,1.73,1,1.73,63.706,63.706,2,5.311,2,3,0.6,53.373,0.454,1,0.046228199,2,c,10.04951986,0.68,0.751707833,0.26,0.42,3
692,1.216,1,1.216,87.235,87.235,4,3.037,2,4,0.8,38.759,3.759,2,0.393465014,2,"d,b,a,c",12.76226539,0.89,1.2648462,0.47,0.41,3
134,1.327,1,1.327,82.679,82.679,3,6.939,3,3,0.6,79.125,3.326,2,0.347972263,2,"a,b,c",11.4029399,0.78,1.026717122,0.37,0.41,3
596,1.236,1,1.236,77.426,77.426,3,5.087,2,4,0.8,61.604,2.783,2,0.290922463,2,"d,c,b",12.11008453,0.84,1.163630437,0.43,0.4,3
706,1.898,1,1.898,58.176,58.176,2,8.815,3,2,0.4,89.722,2.817,2,0.294494642,4,"c,d,b",10.17833239,0.69,0.811119293,0.28,0.4,3
385,1.118,1,1.118,75.806,75.806,3,9.465,4,3,0.6,103.327,3.025,2,0.316347972,4,"d,c,a",10.91674591,0.74,0.981227898,0.35,0.39,3
